name,party,chamber,district,partyUnity,independenceRate,votedWithParty,partyLineVotes,participationRate,missedRate,cast,missed,totalRollCalls,presidingOfficer,id
Sheila Jones,Democratic,House of Representatives,60,0.0,1.0,0,2,1.0,0.0,581,0,581,false,ocd-person/b278b399-5ca3-4cd7-bc19-4053166577a2
Mekyah McQueen,Democratic,House of Representatives,61,1.0,0.0,332,332,0.8559,0.1441,1069,180,1249,false,ocd-person/f0af2586-d535-4e44-bcaa-65239f9390b1
Tanya Miller,Democratic,House of Representatives,62,0.988,0.012,329,333,0.8527,0.1473,1065,184,1249,false,ocd-person/6e5432a3-09ed-4813-b11d-e97222bb7e4d
Kim Schofield,Democratic,House of Representatives,63,1.0,0.0,344,344,0.988,0.012,1234,15,1249,false,ocd-person/eff357d0-3187-4a7b-93fe-2d54d010b093
Robert Dawson,Democratic,House of Representatives,65,0.9086,0.0914,308,339,0.984,0.016,1229,20,1249,false,ocd-person/5d77204f-89e7-43df-bccb-a08b9956132d
Kimberly Alexander,Democratic,House of Representatives,66,0.9942,0.0058,342,344,0.9904,0.0096,1237,12,1249,false,ocd-person/275b772e-6407-4aaa-8bd6-ceddad1da7fa
Lydia Glaize,Democratic,House of Representatives,67,0.9526,0.0474,241,253,0.8903,0.1097,1112,137,1249,false,ocd-person/ee575d7a-b5a1-419c-949d-4aa9290a67a1
Derrick Jackson,Democratic,House of Representatives,68,1.0,0.0,23,23,0.9846,0.0154,447,7,454,false,ocd-person/9046fcb2-f3eb-4233-bd92-32c94e60f9df
Debra Bazemore,Democratic,House of Representatives,69,1.0,0.0,337,337,0.9151,0.0849,1143,106,1249,false,ocd-person/1bb8d14b-9d5d-4edd-8c93-37e95991a8e4
Lynn Smith,Republican,House of Representatives,70,1.0,0.0,11,11,1.0,0.0,621,0,621,false,ocd-person/945875f7-f3c5-4c75-acd6-a195a0f76b12
Jutt Howard,Republican,House of Representatives,71,1.0,0.0,2,2,0.9756,0.0244,761,19,780,false,ocd-person/8b62e64b-bf80-4967-832b-8fb92cd6c4b3
David Huddleston,Republican,House of Representatives,72,1.0,0.0,344,344,0.9984,0.0016,1247,2,1249,false,ocd-person/9bcfa0eb-ee7d-4762-9555-7bc4a67d6417
Josh Bonner,Republican,House of Representatives,73,0.9971,0.0029,342,343,0.9752,0.0248,1218,31,1249,false,ocd-person/0e45048c-c1a4-415f-9ee4-5d09ea857e2e
Robert Flournoy,Democratic,House of Representatives,74,0.9474,0.0526,324,342,0.9856,0.0144,1231,18,1249,false,ocd-person/32c3fbdd-4034-47d0-b7ab-0411bd200737
Eric Bell,Democratic,House of Representatives,75,0.9909,0.0091,328,331,0.8959,0.1041,1119,130,1249,false,ocd-person/fe4b934e-8976-4c62-bcb0-ed8ae9782560
Sandra Scott,Democratic,House of Representatives,76,1.0,0.0,341,341,0.9295,0.0705,1161,88,1249,false,ocd-person/21c6cae1-bcd2-4403-ad39-af04b64ce55c
Rhonda Burnough,Democratic,House of Representatives,77,1.0,0.0,343,343,0.9768,0.0232,1220,29,1249,false,ocd-person/e04bd985-5b75-4551-84a1-f9797ac495d2
Demetrius Douglas,Democratic,House of Representatives,78,0.9819,0.0181,325,331,0.9159,0.0841,1144,105,1249,false,ocd-person/016fb7f0-2b08-4587-b7f2-8d18c1d9b8f5
Yasmin Neal,Democratic,House of Representatives,79,0.9776,0.0224,306,313,0.8279,0.1721,1034,215,1249,false,ocd-person/6f986b42-14f6-4147-9466-c49294331db9
Long Tran,Democratic,House of Representatives,80,0.9331,0.0669,321,344,0.98,0.02,1224,25,1249,false,ocd-person/7475f989-a4f9-4ac8-9188-26903a012d71
Noelle Kahaian,Republican,House of Representatives,81,0.9672,0.0328,324,335,0.988,0.012,1234,15,1249,false,ocd-person/fdf78e39-985f-48c3-8ed3-ccf15946871f
Karen Mathiak,Republican,House of Representatives,82,1.0,0.0,344,344,0.9912,0.0088,1238,11,1249,false,ocd-person/f8db50e0-08ab-406c-ac8b-39c7038ef5ca
Karen Lupton,Democratic,House of Representatives,83,0.9826,0.0174,338,344,0.964,0.036,1204,45,1249,false,ocd-person/eb28f991-35c9-4d84-a907-5be56aed1aff
Mary Margaret Oliver,Democratic,House of Representatives,84,0.955,0.045,318,333,0.8199,0.1801,1024,225,1249,false,ocd-person/e6ca1b23-0972-4df6-ab04-6186cf9da814
Karla Drenner,Democratic,House of Representatives,85,0.9707,0.0293,331,341,0.9656,0.0344,1206,43,1249,false,ocd-person/27365f19-a138-4a9e-9f6e-11352932e5d5
Imani Barnes,Democratic,House of Representatives,86,0.9643,0.0357,324,336,0.9359,0.0641,1169,80,1249,false,ocd-person/2a68d594-e7d5-49cd-b615-6efb872430c3
Viola Davis,Democratic,House of Representatives,87,0.9825,0.0175,337,343,0.996,0.004,1244,5,1249,false,ocd-person/e3b1be9c-b244-4466-9192-adc365a31cfb
Billy Mitchell,Democratic,House of Representatives,88,0.965,0.035,331,343,0.9432,0.0568,1178,71,1249,false,ocd-person/96307d79-07d4-4f59-9dd3-b7f994d566d5
Omari Crawford,Democratic,House of Representatives,89,0.9388,0.0612,184,196,0.8215,0.1785,1026,223,1249,false,ocd-person/dbb81f07-2181-48dd-b383-19870e08d4fd
Saira Draper,Democratic,House of Representatives,90,0.9574,0.0426,315,329,0.8903,0.1097,1112,137,1249,false,ocd-person/2a66b922-b812-4c45-9786-478187cd5e33
Angela Moore,Democratic,House of Representatives,91,0.9817,0.0183,321,327,0.8279,0.1721,1034,215,1249,false,ocd-person/b001a55f-61fa-4e62-85fd-ac6c282f2711
Rhonda Taylor,Democratic,House of Representatives,92,0.0,1.0,0,4,0.9987,0.0013,777,1,778,false,ocd-person/bc40f904-9c20-41d0-80d5-e5645d3e6935
Doreen Carter,Democratic,House of Representatives,93,0.9967,0.0033,306,307,0.8863,0.1137,1107,142,1249,false,ocd-person/818f1afb-2850-448e-99c1-be63a9acfe95
Venola Mason,Democratic,House of Representatives,94,1.0,0.0,243,243,1.0,0.0,245,0,245,false,ocd-person/b9050158-4a6d-4332-8ad2-769472f52e3e
Dar'shun Kendrick,Democratic,House of Representatives,95,0.944,0.056,320,339,0.9279,0.0721,1159,90,1249,false,ocd-person/1f94316e-fb58-401f-bbfc-5ada0a717b6b
