voteId,date,bill,title,motionText,yea,nay,result,billUrl
ocd-vote/1b77b129-a027-4cb8-9d99-f4c5b6f67198,2026-06-20,HB 53,"Monroe, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74817
ocd-vote/1b7dfcec-26fa-42e9-bd4b-0140b3847991,2026-06-20,HB 51,Troup County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74815
ocd-vote/1c0da617-0f54-4613-9f43-c626cd6dd9ad,2026-06-20,HB 65,"Dahlonega, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74829
ocd-vote/221d8878-1548-4dc2-8268-f498786aa559,2026-06-20,HB 39,"Ringgold, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74803
ocd-vote/241d9791-5e45-44db-b3ae-384beeb980db,2026-06-20,HB 14,Fannin County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74771
ocd-vote/2aca1297-ab25-4aa0-aca7-07325ac5d09e,2026-06-20,HB 18,Morgan County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74775
ocd-vote/2b184107-ca26-475b-9737-d8dfca9e7a1d,2026-06-20,HB 35,Webster County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74792
ocd-vote/2c427a65-ab2e-4317-aa65-cbfcc5c4d8a1,2026-06-20,HB 7,Laurens County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74762
ocd-vote/2c5e63ad-633d-4a06-a994-03e3a9d91931,2026-06-20,SB 4,Baldwin County; ad valorem taxes; homestead property determined annually for the special district based upon the proceeds of a new Local Homestead Option Sales Tax (LHOST); provide homestead exemption,Senate Vote #18 - 2026 Special Session,33,15,Pass,https://www.legis.ga.gov/legislation/74757
ocd-vote/2d2f06fd-d71d-4871-b919-f0b5e187be95,2026-06-20,HB 61,Twiggs County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74825
ocd-vote/2e8ca677-d383-4bf2-b747-c83f01c47cf7,2026-06-20,HB 17,Lumpkin County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74774
ocd-vote/2f9b76f1-ce8b-4cac-b4b2-1edddf6078f6,2026-06-20,HB 62,"Cochran, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74826
ocd-vote/341bdf74-2e6d-4242-87b0-51cdc28eda52,2026-06-20,SB 3,Election Equipment Specifications and Standards Committee; establish,Senate Vote #10 - 2026 Special Session,19,33,Fail,https://www.legis.ga.gov/legislation/74767
ocd-vote/3bea91ae-12ff-4d72-a2f1-89b82da2211f,2026-06-20,HB 54,Bacon County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74818
ocd-vote/3dbfe1f5-ce33-48c3-8934-a07aabb93a81,2026-06-20,SB 2,City of Brunswick; ad valorem taxes; homestead property determined annually for the special district based upon the proceeds of a new Local Homestead Option Sales Tax (LHOST); provide homestead exemption,Senate Vote #8 - 2026 Special Session,33,18,Pass,https://www.legis.ga.gov/legislation/74755
ocd-vote/4467c34d-b0e2-40cc-be75-3f766190aced,2026-06-20,HB 10,Worth County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74766
ocd-vote/4469c6df-6156-47fd-957b-66ec6e651869,2026-06-20,SB 4,Baldwin County; ad valorem taxes; homestead property determined annually for the special district based upon the proceeds of a new Local Homestead Option Sales Tax (LHOST); provide homestead exemption,Senate Vote #15 - 2026 Special Session,33,19,Pass,https://www.legis.ga.gov/legislation/74757
ocd-vote/45152054-ce8d-4d4c-99d7-8b9098ebc111,2026-06-20,HR 3,General Assembly; motor fuel and diesel fuel taxes; ratify Governor Brian P. Kemp's Executive Order,House Vote #6 - 2026 Special Session,161,0,Pass,https://www.legis.ga.gov/legislation/74752
ocd-vote/454530a6-b805-4d1b-8016-64c27679da52,2026-06-20,SB 1,Glynn County; ad valorem taxes; homestead property determined annually for the special district based upon the proceeds of a new Local Homestead Option Sales Tax (LHOST); provide homestead exemption,Senate Vote #8 - 2026 Special Session,33,18,Pass,https://www.legis.ga.gov/legislation/74754
ocd-vote/4776deca-7632-424b-a657-36030ca6d8e6,2026-06-20,HB 16,"Blue Ridge, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74773
ocd-vote/4cf86b44-a8ae-4dec-9ce3-070065e19d11,2026-06-20,HB 50,"White, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74814
ocd-vote/4de17870-b5a2-4572-b962-49203e163d59,2026-06-20,HB 13,Mitchell County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74770
ocd-vote/51aeaa70-a831-4506-aaa3-9f1a84cecf6c,2026-06-20,SB 1,Glynn County; ad valorem taxes; homestead property determined annually for the special district based upon the proceeds of a new Local Homestead Option Sales Tax (LHOST); provide homestead exemption,Senate Vote #15 - 2026 Special Session,33,19,Pass,https://www.legis.ga.gov/legislation/74754
ocd-vote/51d9c10c-4099-4ef1-908f-ce651c6f35b2,2026-06-20,SB 3,Election Equipment Specifications and Standards Committee; establish,Senate Vote #11 - 2026 Special Session,18,33,Fail,https://www.legis.ga.gov/legislation/74767
ocd-vote/52ba18c8-844b-4aab-aa79-6828a8157018,2026-06-20,SB 3,Election Equipment Specifications and Standards Committee; establish,Senate Vote #12 - 2026 Special Session,33,19,Pass,https://www.legis.ga.gov/legislation/74767
ocd-vote/552ba763-0722-422e-9f58-a63cd23ebe26,2026-06-20,HB 27,Lowndes County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74784
ocd-vote/5b9802b4-0ba4-4573-bb06-d249264fd549,2026-06-20,HB 66,"Kingston, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74830
ocd-vote/64076bc7-9666-462a-841d-aa99ab45e620,2026-06-20,HB 30,Early County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74787
ocd-vote/6492d608-ea50-4314-873c-d2a91c7219a7,2026-06-20,HB 41,Seminole County; ad valorem tax; provide homestead exemption,House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74805
ocd-vote/6cf31985-fe06-4b96-ad92-5c024354e52f,2026-06-20,HB 28,"Fitzgerald, City of; ad valorem tax; provide homestead exemption",House Vote #5 - 2026 Special Session,95,67,Pass,https://www.legis.ga.gov/legislation/74785
ocd-vote/74827e25-c457-4137-b7aa-b69ba61d1a03,2026-06-20,SB 3,Election Equipment Specifications and Standards Committee; establish,Senate Vote #14 - 2026 Special Session,33,19,Pass,https://www.legis.ga.gov/legislation/74767
